Γεύμα,Κατηγορία,Θερμίδες,Πρωτεΐνες,Λιπαρά,Υδατάνθρακες,Ζάκχαρα
Βρώμη με γιαούρτι και μέλι,Πρωινό,300,15,8,45,12
Αυγά με αβοκάντο,Πρωινό,250,12,20,6,1
Τοστ με γαλοπούλα και τυρί,Πρωινό,280,14,10,32,3
Ομελέτα με λαχανικά,Πρωινό,200,15,10,5,2
Smoothie με φρούτα και γιαούρτι,Πρωινό,220,8,3,38,18
Μπάρες δημητριακών με ξηρούς καρπούς,Πρωινό,190,6,8,26,10
Σάντουιτς με αβοκάντο και τυρί,Πρωινό,320,10,15,40,4
Φρουτοσαλάτα με ξηρούς καρπούς,Πρωινό,180,5,7,30,14
Γιαούρτι με μούσλι και μέλι,Πρωινό,270,12,6,35,15
Πανκέικ με μπανάνα και βρώμη,Πρωινό,290,10,8,45,9
Σπιτική μπάρα ενέργειας με αμύγδαλα,Δεκατιανό,200,7,10,24,9
Φρουτοσαλάτα με γιαούρτι,Δεκατιανό,180,8,3,30,20
Σάντουιτς με κοτόπουλο και λαχανικά,Δεκατιανό,250,15,6,27,3
Κριτσίνια ολικής με τυρί,Δεκατιανό,150,6,8,20,1
Κράκερ με αβοκάντο,Δεκατιανό,160,4,9,17,1
Φρέσκος χυμός πορτοκάλι με ξηρούς καρπούς,Δεκατιανό,130,3,7,16,12
Σαλάτα με φέτα και λαχανικά,Δεκατιανό,180,5,12,10,5
Smoothie με μπανάνα και σπανάκι,Δεκατιανό,200,6,4,38,17
Μήλο με φυστικοβούτυρο,Δεκατιανό,180,4,8,20,15
Τοστ ολικής με φυστικοβούτυρο,Δεκατιανό,220,8,12,25,5
Κοτόπουλο με ρύζι και λαχανικά,Μεσημεριανό,500,30,10,60,2
Σαλάτα με τόνο και ελαιόλαδο,Μεσημεριανό,350,20,18,15,2
Μακαρόνια με σάλτσα τομάτας,Μεσημεριανό,400,12,10,60,8
Μπιφτέκια γαλοπούλας με γλυκοπατάτες,Μεσημεριανό,450,25,15,45,5
Ψαρονέφρι με πατάτες και λαχανικά,Μεσημεριανό,470,28,12,50,3
Ρεβύθια με ρύζι και λαχανικά,Μεσημεριανό,400,15,9,60,4
Παέγια με κοτόπουλο και λαχανικά,Μεσημεριανό,520,25,12,60,2
Κολοκυθάκια γεμιστά με κιμά,Μεσημεριανό,440,22,14,45,5
Γιουβαρλάκια με ρύζι,Μεσημεριανό,480,20,15,55,6
Σουβλάκι κοτόπουλο με πίτα και σαλάτα,Μεσημεριανό,550,26,18,60,3
Γιαούρτι με ξηρούς καρπούς,Απογευματινό,180,10,12,10,6
Smoothie με φρούτα και σπανάκι,Απογευματινό,250,6,5,45,22
Σαλάτα με αυγό και λαχανικά,Απογευματινό,200,12,10,10,2
Μπάρες βρώμης με σοκολάτα,Απογευματινό,210,5,8,30,15
Ρυζογκοφρέτες με φυστικοβούτυρο,Απογευματινό,190,6,10,20,5
Μανταρίνι με αμύγδαλα,Απογευματινό,160,3,9,18,14
Σαλάτα με φασόλια και ελαιόλαδο,Απογευματινό,230,10,12,22,3
Μπισκότα βρώμης με μπανάνα,Απογευματινό,170,4,7,25,12
Κράκερ με τυρί cottage,Απογευματινό,150,10,6,12,1
Πολύσπορα κριτσίνια με ντιπ χούμους,Απογευματινό,200,6,8,25,2
Ψάρι με πατάτες και λαχανικά,Βραδινό,450,25,15,40,5
Ομελέτα με σπανάκι και τυρί,Βραδινό,300,18,20,5,1
Σούπα λαχανικών με κοτόπουλο,Βραδινό,280,15,8,35,3
Σαλάτα με σολομό και αβοκάντο,Βραδινό,350,22,18,10,1
Μπιφτέκια με λαχανικά,Βραδινό,400,20,12,30,2
Κινόα με λαχανικά και φέτα,Βραδινό,330,15,12,40,5
Τόνος με σαλάτα και ελαιόλαδο,Βραδινό,290,25,15,5,1
Σπιτική πίτσα με τυρί και λαχανικά,Βραδινό,400,18,18,45,6
Ομελέτα με μανιτάρια και πιπεριές,Βραδινό,250,15,10,8,2
Σαλάτα φακής με φέτα,Βραδινό,300,20,12,25,3

